program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.913;19999208;3.21;373;4.74
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.462;19999293;2.74;369;4.71
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:03.049;19999088;3.71;358;4.58
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.622;19999103;3.29;358;4.55
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.467;19999189;3.19;367;4.53
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.925;19999171;3.21;371;4.61
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.503;19999142;2.78;355;4.84
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.678;19999316;2.86;365;4.67
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.937;19999195;3.23;372;4.70
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.779;19999381;3.06;352;4.93
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:03.282;19999271;3.60;367;4.83
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.692;19999313;2.96;355;4.65
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.704;19999207;3.40;363;4.67
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.903;19999375;3.08;366;4.56
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.853;19999258;3.49;363;4.69
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.490;19999264;3.18;367;4.74
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.810;19999301;3.09;369;4.72
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.989;19999196;3.26;358;4.69
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.517;19999227;3.20;358;4.77
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.697;19999341;2.94;355;4.50
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:03.281;19999158;3.54;369;4.70
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.512;19999181;3.14;367;4.60
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.850;19999101;3.13;361;4.53
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.790;19999300;3.03;359;4.60
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.703;19999285;2.94;361;4.41
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.706;19999131;2.94;355;4.61
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.547;19999123;2.79;352;4.62
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.602;19999235;3.31;357;4.69
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.717;19999280;2.96;360;4.65
Benchmarks/multiplication;3;0;25000;1000000;0;0:00:02.633;19999118;2.87;364;4.59
Benchmarks/multiplication;3;0;10000;1000000;0;0:00:02.603;19999286;2.88;369;4.64
Benchmarks/multiplication;3;0;10000;1000000;0;0:00:02.521;19999362;2.77;365;4.65
Benchmarks/multiplication;3;0;10000;1000000;0;0:00:02.664;19999298;2.91;351;4.83
Benchmarks/multiplication;3;0;10000;1000000;0;0:00:02.717;19999370;3.00;378;4.77
Benchmarks/multiplication;3;0;10000;1000000;0;0:00:02.836;19999276;3.13;359;4.78
Benchmarks/multiplication;3;0;10000;1000000;0;0:00:02.727;19999117;3.01;360;4.66
Benchmarks/multiplication;3;0;10000;1000000;0;0:00:02.705;19999336;2.99;352;4.62
Benchmarks/multiplication;3;0;10000;1000000;0;0:00:02.515;19999268;2.77;356;4.69
Benchmarks/multiplication;3;0;10000;1000000;0;0:00:02.557;19999311;2.81;368;4.71
Benchmarks/multiplication;3;0;10000;1000000;0;0:00:02.854;19999270;3.17;375;4.77
Benchmarks/multiplication;3;0;1000;1000000;0;0:00:02.667;19999318;2.92;375;4.68
Benchmarks/multiplication;3;0;1000;1000000;0;0:00:02.895;19999228;3.54;360;4.81
Benchmarks/multiplication;3;0;1000;1000000;0;0:00:03.213;19999354;3.47;359;4.77
Benchmarks/multiplication;3;0;1000;1000000;0;0:00:02.751;19999290;3.43;365;4.67
Benchmarks/multiplication;3;0;1000;1000000;0;0:00:03.040;19999229;3.29;358;4.66
Benchmarks/multiplication;3;0;1000;1000000;0;0:00:03.221;19999193;3.49;376;4.52
Benchmarks/multiplication;3;0;1000;1000000;0;0:00:03.342;19999096;3.53;361;4.77
Benchmarks/multiplication;3;0;1000;1000000;0;0:00:03.421;19999212;3.70;363;4.63
Benchmarks/multiplication;3;0;1000;1000000;0;0:00:03.291;19999437;3.57;355;4.77
Benchmarks/multiplication;3;0;1000;1000000;0;0:00:03.091;19999230;3.35;365;4.76
Benchmarks/multiplication;3;0;100;1000000;0;0:00:04.285;19999104;4.59;363;4.68
Benchmarks/multiplication;3;0;100;1000000;0;0:00:04.442;19999233;4.76;355;4.71
Benchmarks/multiplication;3;0;100;1000000;0;0:00:04.234;19999336;4.61;367;4.72
Benchmarks/multiplication;3;0;100;1000000;0;0:00:03.870;19999173;4.15;391;4.76
Benchmarks/multiplication;3;0;100;1000000;0;0:00:04.053;19999147;4.50;375;4.67
Benchmarks/multiplication;3;0;100;1000000;0;0:00:04.394;19999135;4.68;353;4.62
Benchmarks/multiplication;3;0;100;1000000;0;0:00:04.038;19999369;4.26;360;4.65
Benchmarks/multiplication;3;0;100;1000000;0;0:00:04.357;19999168;4.64;369;4.66
Benchmarks/multiplication;3;0;100;1000000;0;0:00:03.564;19999258;4.87;369;4.73
Benchmarks/multiplication;3;0;100;1000000;0;0:00:04.441;19999102;4.63;368;4.68
Benchmarks/multiplication;3;25;25000;1000000;0;0:00:03.664;19999340;4.13;376;4.92
Benchmarks/multiplication;3;25;25000;1000000;0;0:00:03.279;19999054;4.21;358;4.56
Benchmarks/multiplication;3;25;25000;1000000;0;0:00:03.759;19999434;4.04;359;4.62
Benchmarks/multiplication;3;25;25000;1000000;0;0:00:03.639;19999209;3.93;353;4.76
Benchmarks/multiplication;3;25;25000;1000000;0;0:00:03.311;19999308;3.64;374;4.73
Benchmarks/multiplication;3;25;25000;1000000;0;0:00:03.254;19999280;3.59;359;4.69
Benchmarks/multiplication;3;25;25000;1000000;0;0:00:03.233;19999317;3.51;355;4.75
Benchmarks/multiplication;3;25;25000;1000000;0;0:00:03.277;19999144;3.65;361;4.76
Benchmarks/multiplication;3;25;25000;1000000;0;0:00:03.669;19999300;4.09;385;4.84
Benchmarks/multiplication;3;25;25000;1000000;0;0:00:03.522;19999096;3.84;359;4.75
Benchmarks/multiplication;3;50;25000;1000000;0;0:00:04.332;19999080;4.73;353;4.78
Benchmarks/multiplication;3;50;25000;1000000;0;0:00:04.180;19999363;4.56;354;4.58
Benchmarks/multiplication;3;50;25000;1000000;0;0:00:03.689;19999310;4.09;376;4.66
Benchmarks/multiplication;3;50;25000;1000000;0;0:00:03.816;19999307;4.25;357;4.68
Benchmarks/multiplication;3;50;25000;1000000;0;0:00:03.888;19999187;4.73;363;4.67
Benchmarks/multiplication;3;50;25000;1000000;0;0:00:03.685;19999225;4.12;358;4.85
Benchmarks/multiplication;3;50;25000;1000000;0;0:00:04.277;19999211;4.66;354;4.71
Benchmarks/multiplication;3;50;25000;1000000;0;0:00:03.723;19999358;4.17;360;4.76
Benchmarks/multiplication;3;50;25000;1000000;0;0:00:03.628;19999321;3.98;355;4.76
Benchmarks/multiplication;3;50;25000;1000000;0;0:00:04.357;19999149;4.73;379;4.64
Benchmarks/multiplication;3;75;25000;1000000;0;0:00:04.213;19999122;4.77;357;4.72
Benchmarks/multiplication;3;75;25000;1000000;0;0:00:04.147;19999363;4.70;363;4.70
Benchmarks/multiplication;3;75;25000;1000000;0;0:00:04.144;19999243;4.84;357;4.74
Benchmarks/multiplication;3;75;25000;1000000;0;0:00:04.585;19999361;5.15;363;4.71
Benchmarks/multiplication;3;75;25000;1000000;0;0:00:04.696;19999242;5.19;357;4.80
Benchmarks/multiplication;3;75;25000;1000000;0;0:00:04.246;19999207;4.73;359;4.62
Benchmarks/multiplication;3;75;25000;1000000;0;0:00:04.429;19999353;5.03;359;4.72
Benchmarks/multiplication;3;75;25000;1000000;0;0:00:04.362;19999219;4.88;363;4.64
Benchmarks/multiplication;3;75;25000;1000000;0;0:00:04.193;19999237;4.68;363;4.67
Benchmarks/multiplication;3;75;25000;1000000;0;0:00:04.211;19999320;5.24;363;4.58
Benchmarks/multiplication;3;0;25000;1000000;1;0:00:02.466;19999249;2.72;355;4.60
Benchmarks/multiplication;3;0;25000;1000000;1;0:00:02.580;19999189;2.88;375;4.51
Benchmarks/multiplication;3;0;25000;1000000;1;0:00:02.950;19999279;3.14;371;4.78
Benchmarks/multiplication;3;0;25000;1000000;1;0:00:03.160;19999465;3.40;361;4.63
Benchmarks/multiplication;3;0;25000;1000000;1;0:00:03.505;19999290;4.08;375;4.63
Benchmarks/multiplication;3;0;25000;1000000;1;0:00:03.166;19999185;3.44;369;4.64
Benchmarks/multiplication;3;0;25000;1000000;1;0:00:03.141;19999306;3.39;356;4.52
Benchmarks/multiplication;3;0;25000;1000000;1;0:00:02.678;19999057;2.94;355;4.78
Benchmarks/multiplication;3;0;25000;1000000;1;0:00:02.723;19999113;2.97;357;4.72
Benchmarks/multiplication;3;0;25000;1000000;1;0:00:03.115;19999288;3.37;359;4.67
Benchmarks/multiplication;3;0;25000;1000000;2;0:00:02.814;19999341;3.06;393;4.58
Benchmarks/multiplication;3;0;25000;1000000;2;0:00:02.949;19999295;4.21;371;4.77
Benchmarks/multiplication;3;0;25000;1000000;2;0:00:03.952;19999145;4.22;363;4.73
Benchmarks/multiplication;3;0;25000;1000000;2;0:00:02.867;19999370;3.11;359;4.72
Benchmarks/multiplication;3;0;25000;1000000;2;0:00:02.679;19999526;3.04;365;4.79
Benchmarks/multiplication;3;0;25000;1000000;2;0:00:02.951;19999302;3.14;363;4.63
Benchmarks/multiplication;3;0;25000;1000000;2;0:00:03.204;19999317;3.48;352;4.71
Benchmarks/multiplication;3;0;25000;1000000;2;0:00:02.693;19999052;2.99;359;4.63
Benchmarks/multiplication;3;0;25000;1000000;2;0:00:02.537;19999137;3.17;363;4.62
Benchmarks/multiplication;3;0;25000;1000000;2;0:00:03.240;19999347;3.49;357;4.69
Benchmarks/multiplication;3;0;25000;1000000;5;0:00:03.037;19999211;3.31;352;4.67
Benchmarks/multiplication;3;0;25000;1000000;5;0:00:03.922;19999393;5.11;381;4.66
Benchmarks/multiplication;3;0;25000;1000000;5;0:00:03.280;19999141;4.60;358;4.70
Benchmarks/multiplication;3;0;25000;1000000;5;0:00:02.489;19999126;2.68;369;4.63
Benchmarks/multiplication;3;0;25000;1000000;5;0:00:03.203;19999302;3.46;372;4.65
Benchmarks/multiplication;3;0;25000;1000000;5;0:00:03.523;19999032;3.80;361;4.61
Benchmarks/multiplication;3;0;25000;1000000;5;0:00:02.658;19999288;3.22;365;4.68
Benchmarks/multiplication;3;0;25000;1000000;5;0:00:02.978;19999268;3.32;361;4.70
Benchmarks/multiplication;3;0;25000;1000000;5;0:00:03.279;19999264;4.39;360;4.77
Benchmarks/multiplication;3;0;25000;1000000;5;0:00:02.711;19999239;3.21;364;4.65