program;partysize;latencies(ms);bandwidths(Mbs);packetdrops(%);runtime_internal(s);Bytes Send;runtimeExternal(s);RAMused(MB);System Time (s)
Benchmarks/BitAND;3;1;25000;0;0:00:17.695;1519867;17.99;498224;4.12
Benchmarks/BitAND;3;1;25000;1;0:00:16.624;1519867;17.05;443980;4.16
Benchmarks/BitAND;3;1;25000;2;0:00:16.795;1519867;17.07;487280;4.15
Benchmarks/BitAND;3;1;25000;5;0:00:16.432;1519867;16.93;480852;4.34
Benchmarks/BitAND;3;1;25000;10;0:00:16.422;1519867;16.81;493472;4.21
Benchmarks/BitAND;3;1;10000;0;0:00:16.876;1519867;17.63;428276;4.22
Benchmarks/BitAND;3;1;10000;1;0:00:16.241;1519867;16.43;487696;4.22
Benchmarks/BitAND;3;1;10000;2;0:00:16.359;1519867;16.55;493456;4.31
Benchmarks/BitAND;3;1;10000;5;0:00:16.098;1519867;16.37;508800;4.31
Benchmarks/BitAND;3;1;10000;10;0:00:17.307;1519867;17.48;488972;4.17
Benchmarks/BitAND;3;1;1000;0;0:00:16.323;1519867;16.62;490436;4.15
Benchmarks/BitAND;3;1;1000;1;0:00:16.592;1519867;16.85;447312;4.18
Benchmarks/BitAND;3;1;1000;2;0:00:16.667;1519867;17.19;506764;4.23
Benchmarks/BitAND;3;1;1000;5;0:00:16.598;1519867;16.96;487780;4.18
Benchmarks/BitAND;3;1;1000;10;0:00:16.553;1519867;16.73;509212;4.26
Benchmarks/BitAND;3;1;100;0;0:00:16.032;1519867;16.46;521996;4.17
Benchmarks/BitAND;3;1;100;1;0:00:16.293;1519867;16.54;486824;4.23
Benchmarks/BitAND;3;1;100;2;0:00:16.494;1519867;16.79;480996;4.28
Benchmarks/BitAND;3;1;100;5;0:00:16.507;1519867;16.86;488116;4.26
Benchmarks/BitAND;3;1;100;10;0:00:16.039;1519867;16.32;457884;4.24
Benchmarks/BitAND;3;30;25000;0;0:00:16.164;1519867;16.44;480804;4.18
Benchmarks/BitAND;3;30;25000;1;0:00:16.171;1519867;16.59;469136;4.39
Benchmarks/BitAND;3;30;25000;2;0:00:16.555;1519867;17.02;478044;4.32
Benchmarks/BitAND;3;30;25000;5;0:00:16.468;1519867;16.74;494604;4.26
Benchmarks/BitAND;3;30;25000;10;0:00:16.568;1519867;17.01;440724;4.29
Benchmarks/BitAND;3;30;10000;0;0:00:16.481;1519867;16.67;465176;4.18
Benchmarks/BitAND;3;30;10000;1;0:00:16.692;1519867;17.24;422684;4.25
Benchmarks/BitAND;3;30;10000;2;0:00:16.795;1519867;17.30;501812;4.31
Benchmarks/BitAND;3;30;10000;5;0:00:16.145;1519867;16.41;496468;4.06
Benchmarks/BitAND;3;30;10000;10;0:00:17.528;1519867;17.89;420852;4.18
Benchmarks/BitAND;3;30;1000;0;0:00:16.431;1519867;16.89;483752;4.28
Benchmarks/BitAND;3;30;1000;1;0:00:16.956;1519867;17.14;494796;4.36
Benchmarks/BitAND;3;30;1000;2;0:00:17.063;1519867;17.52;427512;4.18
Benchmarks/BitAND;3;30;1000;5;0:00:17.140;1519867;17.52;477472;4.17
Benchmarks/BitAND;3;30;1000;10;0:00:16.552;1519867;17.01;406088;4.36
Benchmarks/BitAND;3;30;100;0;0:00:16.285;1519867;16.70;459760;4.18
Benchmarks/BitAND;3;30;100;1;0:00:17.226;1519867;17.52;443372;4.25
Benchmarks/BitAND;3;30;100;2;0:00:17.244;1519867;17.62;442380;4.23
Benchmarks/BitAND;3;30;100;5;0:00:16.630;1519867;17.07;486560;4.23
Benchmarks/BitAND;3;30;100;10;0:00:16.828;1519867;17.12;474972;4.28
Benchmarks/BitAND;3;100;25000;0;0:00:16.684;1519867;17.14;451376;4.26
Benchmarks/BitAND;3;100;25000;1;0:00:16.593;1519867;17.18;486036;4.12
Benchmarks/BitAND;3;100;25000;2;0:00:16.491;1519867;16.95;516084;4.31
Benchmarks/BitAND;3;100;25000;5;0:00:16.307;1519867;16.71;461860;4.15
Benchmarks/BitAND;3;100;25000;10;0:00:16.873;1519867;17.24;494464;4.37
Benchmarks/BitAND;3;100;10000;0;0:00:16.313;1519867;16.73;423044;4.20
Benchmarks/BitAND;3;100;10000;1;0:00:16.981;1519867;17.34;427288;4.34
Benchmarks/BitAND;3;100;10000;2;0:00:16.086;1519867;16.50;493584;4.24
Benchmarks/BitAND;3;100;10000;5;0:00:16.371;1519867;17.01;456060;4.31
Benchmarks/BitAND;3;100;10000;10;0:00:16.637;1519867;17.13;481064;4.22
Benchmarks/BitAND;3;100;1000;0;0:00:16.774;1519867;17.12;484272;4.33
Benchmarks/BitAND;3;100;1000;1;0:00:17.364;1519867;17.62;486108;4.16
Benchmarks/BitAND;3;100;1000;2;0:00:16.951;1519867;17.44;447892;4.22
Benchmarks/BitAND;3;100;1000;5;0:00:17.040;1519867;17.30;493388;4.21
Benchmarks/BitAND;3;100;1000;10;0:00:16.749;1519867;17.04;494280;4.16
Benchmarks/BitAND;3;100;100;0;0:00:16.695;1519867;17.01;491304;4.18
Benchmarks/BitAND;3;100;100;1;0:00:16.075;1519867;16.35;471336;4.30
Benchmarks/BitAND;3;100;100;2;0:00:16.803;1519867;17.17;432260;4.35
Benchmarks/BitAND;3;100;100;5;0:00:16.222;1519867;16.56;481260;4.18
Benchmarks/BitAND;3;100;100;10;0:00:17.188;1519867;17.52;476048;4.31
Benchmarks/BitAND;3;150;25000;0;0:00:16.705;1519867;16.96;477328;4.25
Benchmarks/BitAND;3;150;25000;1;0:00:16.284;1519867;16.85;476860;4.10
Benchmarks/BitAND;3;150;25000;2;0:00:16.937;1519867;17.50;463252;4.23
Benchmarks/BitAND;3;150;25000;5;0:00:16.340;1519867;16.60;489912;4.20
Benchmarks/BitAND;3;150;25000;10;0:00:16.725;1519867;17.09;460820;4.21
Benchmarks/BitAND;3;150;10000;0;0:00:16.949;1519867;17.21;515748;4.24
Benchmarks/BitAND;3;150;10000;1;0:00:16.136;1519867;16.41;491936;4.23
Benchmarks/BitAND;3;150;10000;2;0:00:16.409;1519867;16.59;469872;4.28
Benchmarks/BitAND;3;150;10000;5;0:00:16.678;1519867;16.92;488620;4.24
Benchmarks/BitAND;3;150;10000;10;0:00:17.533;1519867;17.86;447660;4.22
Benchmarks/BitAND;3;150;1000;0;0:00:17.333;1519867;17.51;506300;4.20
Benchmarks/BitAND;3;150;1000;1;0:00:17.392;1519867;17.68;433608;4.27
Benchmarks/BitAND;3;150;1000;2;0:00:16.793;1519867;16.99;495412;4.28
Benchmarks/BitAND;3;150;1000;5;0:00:17.342;1519867;17.81;478432;4.21
Benchmarks/BitAND;3;150;1000;10;0:00:16.710;1519867;17.04;436976;4.31
Benchmarks/BitAND;3;150;100;0;0:00:16.101;1519867;16.37;485932;4.26
Benchmarks/BitAND;3;150;100;1;0:00:17.139;1519867;17.33;500276;4.12
Benchmarks/BitAND;3;150;100;2;0:00:16.555;1519867;16.84;441528;4.19
Benchmarks/BitAND;3;150;100;5;0:00:16.629;1519867;16.98;499992;4.24
Benchmarks/BitAND;3;150;100;10;0:00:16.234;1519867;16.82;464072;4.37
