program;partysize;latencies(ms);bandwidths(Mbs);input_size;runtime_internal(s);Bytes Send;runtimeExternal(s);RAMused(MB);System Time (s)
UseCases/SecureStatistics;3;1;25000;100;0:00:00.266;204216;0.53;66340;4.11
UseCases/SecureStatistics;3;1;25000;1000;0:00:02.151;2059306;2.43;116000;4.08
UseCases/SecureStatistics;3;1;25000;5000;0:00:18.156;10303792;18.39;344776;4.53
UseCases/SecureStatistics;3;1;25000;10000;0:00:45.383;20608654;45.57;654576;5.11
UseCases/SecureStatistics;3;1;10000;100;0:00:00.286;204216;0.55;47880;4.07
UseCases/SecureStatistics;3;1;10000;1000;0:00:02.397;2059306;2.58;104008;4.16
UseCases/SecureStatistics;3;1;10000;5000;0:00:18.646;10303622;18.92;344684;4.61
UseCases/SecureStatistics;3;1;10000;10000;0:00:44.698;20608824;44.98;650956;5.00
UseCases/SecureStatistics;3;1;1000;100;0:00:00.275;204446;0.53;49892;4.12
UseCases/SecureStatistics;3;1;1000;1000;0:00:02.299;2059306;2.56;120148;4.08
UseCases/SecureStatistics;3;1;1000;5000;0:00:19.073;10303792;19.35;339752;4.47
UseCases/SecureStatistics;3;1;1000;10000;0:00:44.118;20608994;44.41;645040;5.16
UseCases/SecureStatistics;3;1;100;100;0:00:00.308;204216;0.59;43552;4.04
UseCases/SecureStatistics;3;1;100;1000;0:00:02.150;2059306;2.42;108376;4.27
UseCases/SecureStatistics;3;1;100;5000;0:00:18.211;10303874;18.45;346612;4.47
UseCases/SecureStatistics;3;1;100;10000;0:00:43.674;20608654;43.92;643132;4.83
UseCases/SecureStatistics;3;30;25000;100;0:00:00.278;204216;0.56;57976;4.05
UseCases/SecureStatistics;3;30;25000;1000;0:00:02.333;2059306;2.57;106708;4.17
UseCases/SecureStatistics;3;30;25000;5000;0:00:19.165;10304472;19.45;337228;4.59
UseCases/SecureStatistics;3;30;25000;10000;0:00:45.397;20608654;45.58;657004;4.94
UseCases/SecureStatistics;3;30;10000;100;0:00:00.278;204528;0.52;47692;3.93
UseCases/SecureStatistics;3;30;10000;1000;0:00:02.149;2059716;2.43;104056;4.12
UseCases/SecureStatistics;3;30;10000;5000;0:00:18.717;10303622;18.90;348492;4.57
UseCases/SecureStatistics;3;30;10000;10000;0:00:44.874;20608654;45.06;646724;5.24
UseCases/SecureStatistics;3;30;1000;100;0:00:00.203;204216;0.43;82592;4.01
UseCases/SecureStatistics;3;30;1000;1000;0:00:02.178;2059306;2.43;107976;4.18
UseCases/SecureStatistics;3;30;1000;5000;0:00:18.917;10303622;19.20;351164;4.72
UseCases/SecureStatistics;3;30;1000;10000;0:00:44.647;20608654;44.83;646924;5.22
UseCases/SecureStatistics;3;30;100;100;0:00:00.285;204216;0.56;59984;4.04
UseCases/SecureStatistics;3;30;100;1000;0:00:02.122;2059306;2.39;107844;4.15
UseCases/SecureStatistics;3;30;100;5000;0:00:18.592;10303874;18.78;350840;4.58
UseCases/SecureStatistics;3;30;100;10000;0:00:44.712;20608906;44.99;647348;5.13
UseCases/SecureStatistics;3;100;25000;100;0:00:00.292;204216;0.58;47928;4.06
UseCases/SecureStatistics;3;100;25000;1000;0:00:02.197;2059306;2.48;112056;4.16
UseCases/SecureStatistics;3;100;25000;5000;0:00:18.200;10303792;18.46;343004;4.64
UseCases/SecureStatistics;3;100;25000;10000;0:00:45.396;20608654;45.64;644800;5.00
UseCases/SecureStatistics;3;100;10000;100;0:00:00.292;204216;0.47;54012;4.11
UseCases/SecureStatistics;3;100;10000;1000;0:00:02.455;2059306;2.73;112140;4.16
UseCases/SecureStatistics;3;100;10000;5000;0:00:19.719;10303622;19.88;363136;4.52
UseCases/SecureStatistics;3;100;10000;10000;0:00:44.417;20608654;44.70;644840;5.01
UseCases/SecureStatistics;3;100;1000;100;0:00:00.303;204216;0.58;45944;4.12
UseCases/SecureStatistics;3;100;1000;1000;0:00:02.105;2059306;2.29;122292;4.14
UseCases/SecureStatistics;3;100;1000;5000;0:00:18.206;10303792;18.49;346672;4.59
UseCases/SecureStatistics;3;100;1000;10000;0:00:45.320;20608654;45.60;648896;5.05
UseCases/SecureStatistics;3;100;100;100;0:00:00.296;204216;0.52;74428;4.13
UseCases/SecureStatistics;3;100;100;1000;0:00:02.097;2059306;2.35;105848;4.21
UseCases/SecureStatistics;3;100;100;5000;0:00:18.758;10303874;19.00;358752;4.55
UseCases/SecureStatistics;3;100;100;10000;0:00:44.096;20608906;44.33;659124;5.02
UseCases/SecureStatistics;3;150;25000;100;0:00:00.242;204446;0.41;68260;4.09
UseCases/SecureStatistics;3;150;25000;1000;0:00:02.410;2059306;2.68;99800;4.13
UseCases/SecureStatistics;3;150;25000;5000;0:00:19.136;10303792;19.32;344520;4.66
UseCases/SecureStatistics;3;150;25000;10000;0:00:42.533;20610104;42.82;644712;5.19
UseCases/SecureStatistics;3;150;10000;100;0:00:00.307;204216;0.55;55968;4.06
UseCases/SecureStatistics;3;150;10000;1000;0:00:02.394;2059306;2.64;101676;4.07
UseCases/SecureStatistics;3;150;10000;5000;0:00:18.462;10303792;18.72;354884;4.52
UseCases/SecureStatistics;3;150;10000;10000;0:00:41.379;20608824;41.66;657012;5.19
UseCases/SecureStatistics;3;150;1000;100;0:00:00.399;204216;0.59;64040;4.12
UseCases/SecureStatistics;3;150;1000;1000;0:00:02.383;2059306;2.67;124220;4.23
UseCases/SecureStatistics;3;150;1000;5000;0:00:18.421;10303622;18.60;336664;4.66
UseCases/SecureStatistics;3;150;1000;10000;0:00:44.889;20608994;45.17;657012;5.11
UseCases/SecureStatistics;3;150;100;100;0:00:00.336;204216;0.52;45740;4.07
UseCases/SecureStatistics;3;150;100;1000;0:00:02.634;2059306;2.81;116020;4.11
UseCases/SecureStatistics;3;150;100;5000;0:00:18.355;10304214;18.52;366868;4.61
UseCases/SecureStatistics;3;150;100;10000;0:00:45.309;20608654;45.59;640620;4.93
